
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=2 --cards --sandbox=chooseX-vein


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=2
Sandbox set applied: chooseX-vein (1 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  early      water-holger              greedy       policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              blind        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              control-lock policy-pick           vic= 54 mer=  0 cap=  6 con=  0 def=  0
  early      water-holger              aggro-brute  policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              turtle       policy-pick           vic=  7 mer=  0 cap=  0 con=  0 def= 53
  early      water-holger              chaos        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              mercy-seeker policy-pick           vic= 16 mer=  0 cap=  0 con=  0 def= 44
  early      the-butcher               greedy       policy-pick           vic= 54 mer=  0 cap=  0 con=  0 def=  6
  early      the-butcher               blind        policy-pick           vic= 55 mer=  0 cap=  0 con=  0 def=  5
  early      the-butcher               dot-weaver   policy-pick           vic= 59 mer=  0 cap=  0 con=  0 def=  1
  early      the-butcher               control-lock policy-pick           vic= 49 mer=  0 cap=  1 con=  0 def= 10
  early      the-butcher               aggro-brute  policy-pick           vic= 48 mer=  0 cap=  0 con=  0 def= 12
  early      the-butcher               turtle       policy-pick           vic=  1 mer=  0 cap=  0 con=  0 def= 59
  early      the-butcher               chaos        policy-pick           vic= 42 mer=  0 cap=  0 con=  0 def= 18
  early      the-butcher               mercy-seeker policy-pick           vic=  2 mer=  0 cap=  0 con=  0 def= 58
  early      king-of-revenge           greedy       policy-pick           vic= 20 mer=  0 cap=  0 con=  0 def= 40
  early      king-of-revenge           blind        policy-pick           vic= 20 mer=  0 cap=  0 con=  0 def= 40
  early      king-of-revenge           dot-weaver   policy-pick           vic= 49 mer=  0 cap=  0 con=  0 def= 11
  early      king-of-revenge           control-lock policy-pick           vic= 16 mer=  0 cap=  2 con=  0 def= 42
  early      king-of-revenge           aggro-brute  policy-pick           vic= 15 mer=  0 cap=  0 con=  0 def= 45
  early      king-of-revenge           turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  early      king-of-revenge           chaos        policy-pick           vic= 15 mer=  0 cap=  0 con=  0 def= 45
  early      king-of-revenge           mercy-seeker policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        tri-eyes                  greedy       policy-pick           vic= 26 mer=  0 cap= 19 con=  0 def= 15
  mid        tri-eyes                  blind        policy-pick           vic= 25 mer=  0 cap= 20 con=  0 def= 15
  mid        tri-eyes                  dot-weaver   policy-pick           vic= 50 mer=  0 cap=  0 con=  0 def= 10
  mid        tri-eyes                  control-lock policy-pick           vic= 12 mer=  0 cap= 11 con=  0 def= 37
  mid        tri-eyes                  aggro-brute  policy-pick           vic=  1 mer=  0 cap=  0 con=  0 def= 59
  mid        tri-eyes                  turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
